sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2
1-A	1-A	1	1-A_S1_L001_R1_001.fastq.gz	1-A_S1_L001_R2_001.fastq.gz	62525	62525
1-B	1-B	1	1-B_S191_L001_R1_001.fastq.gz	1-B_S191_L001_R2_001.fastq.gz	52478	52478
1-C	1-C	1	1-C_S381_L001_R1_001.fastq.gz	1-C_S381_L001_R2_001.fastq.gz	44820	44820
10-A	10-A	1	10-A_S10_L001_R1_001.fastq.gz	10-A_S10_L001_R2_001.fastq.gz	22558	22558
10-B	10-B	1	10-B_S200_L001_R1_001.fastq.gz	10-B_S200_L001_R2_001.fastq.gz	16511	16511
10-C	10-C	1	10-C_S390_L001_R1_001.fastq.gz	10-C_S390_L001_R2_001.fastq.gz	47858	47858
100-A	100-A	1	100-A_S111_L001_R1_001.fastq.gz	100-A_S111_L001_R2_001.fastq.gz	64439	64439
100-B	100-B	1	100-B_S301_L001_R1_001.fastq.gz	100-B_S301_L001_R2_001.fastq.gz	12020	12020
100-C	100-C	1	100-C_S491_L001_R1_001.fastq.gz	100-C_S491_L001_R2_001.fastq.gz	38900	38900
101-A	101-A	1	101-A_S112_L001_R1_001.fastq.gz	101-A_S112_L001_R2_001.fastq.gz	10509	10509
101-B	101-B	1	101-B_S302_L001_R1_001.fastq.gz	101-B_S302_L001_R2_001.fastq.gz	5170	5170
101-C	101-C	1	101-C_S492_L001_R1_001.fastq.gz	101-C_S492_L001_R2_001.fastq.gz	29038	29038
102-A	102-A	1	102-A_S113_L001_R1_001.fastq.gz	102-A_S113_L001_R2_001.fastq.gz	27587	27587
102-B	102-B	1	102-B_S303_L001_R1_001.fastq.gz	102-B_S303_L001_R2_001.fastq.gz	39810	39810
102-C	102-C	1	102-C_S493_L001_R1_001.fastq.gz	102-C_S493_L001_R2_001.fastq.gz	21271	21271
103-A	103-A	1	103-A_S114_L001_R1_001.fastq.gz	103-A_S114_L001_R2_001.fastq.gz	44084	44084
103-B	103-B	1	103-B_S304_L001_R1_001.fastq.gz	103-B_S304_L001_R2_001.fastq.gz	27677	27677
103-C	103-C	1	103-C_S494_L001_R1_001.fastq.gz	103-C_S494_L001_R2_001.fastq.gz	32349	32349
104-A	104-A	1	104-A_S115_L001_R1_001.fastq.gz	104-A_S115_L001_R2_001.fastq.gz	27304	27304
104-B	104-B	1	104-B_S305_L001_R1_001.fastq.gz	104-B_S305_L001_R2_001.fastq.gz	21815	21815
104-C	104-C	1	104-C_S495_L001_R1_001.fastq.gz	104-C_S495_L001_R2_001.fastq.gz	31760	31760
105-A	105-A	1	105-A_S116_L001_R1_001.fastq.gz	105-A_S116_L001_R2_001.fastq.gz	45178	45178
105-B	105-B	1	105-B_S306_L001_R1_001.fastq.gz	105-B_S306_L001_R2_001.fastq.gz	30645	30645
105-C	105-C	1	105-C_S496_L001_R1_001.fastq.gz	105-C_S496_L001_R2_001.fastq.gz	55499	55499
106-A	106-A	1	106-A_S117_L001_R1_001.fastq.gz	106-A_S117_L001_R2_001.fastq.gz	8150	8150
106-B	106-B	1	106-B_S307_L001_R1_001.fastq.gz	106-B_S307_L001_R2_001.fastq.gz	713	713
106-C	106-C	1	106-C_S497_L001_R1_001.fastq.gz	106-C_S497_L001_R2_001.fastq.gz	6502	6502
107-A	107-A	1	107-A_S118_L001_R1_001.fastq.gz	107-A_S118_L001_R2_001.fastq.gz	38401	38401
107-B	107-B	1	107-B_S308_L001_R1_001.fastq.gz	107-B_S308_L001_R2_001.fastq.gz	43691	43691
107-C	107-C	1	107-C_S498_L001_R1_001.fastq.gz	107-C_S498_L001_R2_001.fastq.gz	29821	29821
108-A	108-A	1	108-A_S119_L001_R1_001.fastq.gz	108-A_S119_L001_R2_001.fastq.gz	37199	37199
108-B	108-B	1	108-B_S309_L001_R1_001.fastq.gz	108-B_S309_L001_R2_001.fastq.gz	42867	42867
108-C	108-C	1	108-C_S499_L001_R1_001.fastq.gz	108-C_S499_L001_R2_001.fastq.gz	37665	37665
109-A	109-A	1	109-A_S120_L001_R1_001.fastq.gz	109-A_S120_L001_R2_001.fastq.gz	25311	25311
109-B	109-B	1	109-B_S310_L001_R1_001.fastq.gz	109-B_S310_L001_R2_001.fastq.gz	25453	25453
109-C	109-C	1	109-C_S500_L001_R1_001.fastq.gz	109-C_S500_L001_R2_001.fastq.gz	40630	40630
11-A	11-A	1	11-A_S11_L001_R1_001.fastq.gz	11-A_S11_L001_R2_001.fastq.gz	9354	9354
11-B	11-B	1	11-B_S201_L001_R1_001.fastq.gz	11-B_S201_L001_R2_001.fastq.gz	8962	8962
11-C	11-C	1	11-C_S391_L001_R1_001.fastq.gz	11-C_S391_L001_R2_001.fastq.gz	10720	10720
110-A	110-A	1	110-A_S121_L001_R1_001.fastq.gz	110-A_S121_L001_R2_001.fastq.gz	26193	26193
110-B	110-B	1	110-B_S311_L001_R1_001.fastq.gz	110-B_S311_L001_R2_001.fastq.gz	27201	27201
110-C	110-C	1	110-C_S501_L001_R1_001.fastq.gz	110-C_S501_L001_R2_001.fastq.gz	56819	56819
111-A	111-A	1	111-A_S122_L001_R1_001.fastq.gz	111-A_S122_L001_R2_001.fastq.gz	29846	29846
111-B	111-B	1	111-B_S312_L001_R1_001.fastq.gz	111-B_S312_L001_R2_001.fastq.gz	35351	35351
111-C	111-C	1	111-C_S502_L001_R1_001.fastq.gz	111-C_S502_L001_R2_001.fastq.gz	108183	108183
112-A	112-A	1	112-A_S123_L001_R1_001.fastq.gz	112-A_S123_L001_R2_001.fastq.gz	27839	27839
112-B	112-B	1	112-B_S313_L001_R1_001.fastq.gz	112-B_S313_L001_R2_001.fastq.gz	33639	33639
112-C	112-C	1	112-C_S503_L001_R1_001.fastq.gz	112-C_S503_L001_R2_001.fastq.gz	104718	104718
113-A	113-A	1	113-A_S124_L001_R1_001.fastq.gz	113-A_S124_L001_R2_001.fastq.gz	8079	8079
113-B	113-B	1	113-B_S314_L001_R1_001.fastq.gz	113-B_S314_L001_R2_001.fastq.gz	676	676
113-C	113-C	1	113-C_S504_L001_R1_001.fastq.gz	113-C_S504_L001_R2_001.fastq.gz	22569	22569
114-A	114-A	1	114-A_S125_L001_R1_001.fastq.gz	114-A_S125_L001_R2_001.fastq.gz	55824	55824
114-B	114-B	1	114-B_S315_L001_R1_001.fastq.gz	114-B_S315_L001_R2_001.fastq.gz	27786	27786
114-C	114-C	1	114-C_S505_L001_R1_001.fastq.gz	114-C_S505_L001_R2_001.fastq.gz	116039	116039
115-A	115-A	1	115-A_S126_L001_R1_001.fastq.gz	115-A_S126_L001_R2_001.fastq.gz	25636	25636
115-B	115-B	1	115-B_S316_L001_R1_001.fastq.gz	115-B_S316_L001_R2_001.fastq.gz	33531	33531
115-C	115-C	1	115-C_S506_L001_R1_001.fastq.gz	115-C_S506_L001_R2_001.fastq.gz	55762	55762
116-A	116-A	1	116-A_S127_L001_R1_001.fastq.gz	116-A_S127_L001_R2_001.fastq.gz	37070	37070
116-B	116-B	1	116-B_S317_L001_R1_001.fastq.gz	116-B_S317_L001_R2_001.fastq.gz	51119	51119
116-C	116-C	1	116-C_S507_L001_R1_001.fastq.gz	116-C_S507_L001_R2_001.fastq.gz	40040	40040
117-A	117-A	1	117-A_S128_L001_R1_001.fastq.gz	117-A_S128_L001_R2_001.fastq.gz	88835	88835
117-B	117-B	1	117-B_S318_L001_R1_001.fastq.gz	117-B_S318_L001_R2_001.fastq.gz	2218	2218
117-C	117-C	1	117-C_S508_L001_R1_001.fastq.gz	117-C_S508_L001_R2_001.fastq.gz	38466	38466
118-A	118-A	1	118-A_S129_L001_R1_001.fastq.gz	118-A_S129_L001_R2_001.fastq.gz	46600	46600
118-B	118-B	1	118-B_S319_L001_R1_001.fastq.gz	118-B_S319_L001_R2_001.fastq.gz	24878	24878
118-C	118-C	1	118-C_S509_L001_R1_001.fastq.gz	118-C_S509_L001_R2_001.fastq.gz	31462	31462
119-A	119-A	1	119-A_S130_L001_R1_001.fastq.gz	119-A_S130_L001_R2_001.fastq.gz	44905	44905
119-B	119-B	1	119-B_S320_L001_R1_001.fastq.gz	119-B_S320_L001_R2_001.fastq.gz	15721	15721
119-C	119-C	1	119-C_S510_L001_R1_001.fastq.gz	119-C_S510_L001_R2_001.fastq.gz	24984	24984
12-A	12-A	1	12-A_S12_L001_R1_001.fastq.gz	12-A_S12_L001_R2_001.fastq.gz	29675	29675
12-B	12-B	1	12-B_S202_L001_R1_001.fastq.gz	12-B_S202_L001_R2_001.fastq.gz	17815	17815
12-C	12-C	1	12-C_S392_L001_R1_001.fastq.gz	12-C_S392_L001_R2_001.fastq.gz	90828	90828
120-A	120-A	1	120-A_S131_L001_R1_001.fastq.gz	120-A_S131_L001_R2_001.fastq.gz	8739	8739
120-B	120-B	1	120-B_S321_L001_R1_001.fastq.gz	120-B_S321_L001_R2_001.fastq.gz	4520	4520
120-C	120-C	1	120-C_S511_L001_R1_001.fastq.gz	120-C_S511_L001_R2_001.fastq.gz	6251	6251
121-A	121-A	1	121-A_S132_L001_R1_001.fastq.gz	121-A_S132_L001_R2_001.fastq.gz	39763	39763
121-B	121-B	1	121-B_S322_L001_R1_001.fastq.gz	121-B_S322_L001_R2_001.fastq.gz	19028	19028
121-C	121-C	1	121-C_S512_L001_R1_001.fastq.gz	121-C_S512_L001_R2_001.fastq.gz	33438	33438
122-A	122-A	1	122-A_S133_L001_R1_001.fastq.gz	122-A_S133_L001_R2_001.fastq.gz	50141	50141
122-B	122-B	1	122-B_S323_L001_R1_001.fastq.gz	122-B_S323_L001_R2_001.fastq.gz	24050	24050
122-C	122-C	1	122-C_S513_L001_R1_001.fastq.gz	122-C_S513_L001_R2_001.fastq.gz	32078	32078
123-A	123-A	1	123-A_S134_L001_R1_001.fastq.gz	123-A_S134_L001_R2_001.fastq.gz	58332	58332
123-B	123-B	1	123-B_S324_L001_R1_001.fastq.gz	123-B_S324_L001_R2_001.fastq.gz	15893	15893
123-C	123-C	1	123-C_S514_L001_R1_001.fastq.gz	123-C_S514_L001_R2_001.fastq.gz	37664	37664
124-A	124-A	1	124-A_S135_L001_R1_001.fastq.gz	124-A_S135_L001_R2_001.fastq.gz	716	716
124-B	124-B	1	124-B_S325_L001_R1_001.fastq.gz	124-B_S325_L001_R2_001.fastq.gz	30206	30206
124-C	124-C	1	124-C_S515_L001_R1_001.fastq.gz	124-C_S515_L001_R2_001.fastq.gz	37338	37338
125-A	125-A	1	125-A_S136_L001_R1_001.fastq.gz	125-A_S136_L001_R2_001.fastq.gz	42787	42787
125-B	125-B	1	125-B_S326_L001_R1_001.fastq.gz	125-B_S326_L001_R2_001.fastq.gz	24446	24446
125-C	125-C	1	125-C_S516_L001_R1_001.fastq.gz	125-C_S516_L001_R2_001.fastq.gz	24414	24414
126-A	126-A	1	126-A_S137_L001_R1_001.fastq.gz	126-A_S137_L001_R2_001.fastq.gz	18604	18604
126-B	126-B	1	126-B_S327_L001_R1_001.fastq.gz	126-B_S327_L001_R2_001.fastq.gz	26662	26662
126-C	126-C	1	126-C_S517_L001_R1_001.fastq.gz	126-C_S517_L001_R2_001.fastq.gz	28954	28954
127-A	127-A	1	127-A_S138_L001_R1_001.fastq.gz	127-A_S138_L001_R2_001.fastq.gz	9363	9363
127-B	127-B	1	127-B_S328_L001_R1_001.fastq.gz	127-B_S328_L001_R2_001.fastq.gz	7983	7983
127-C	127-C	1	127-C_S518_L001_R1_001.fastq.gz	127-C_S518_L001_R2_001.fastq.gz	5499	5499
128-A	128-A	1	128-A_S139_L001_R1_001.fastq.gz	128-A_S139_L001_R2_001.fastq.gz	47969	47969
128-B	128-B	1	128-B_S329_L001_R1_001.fastq.gz	128-B_S329_L001_R2_001.fastq.gz	31784	31784
128-C	128-C	1	128-C_S519_L001_R1_001.fastq.gz	128-C_S519_L001_R2_001.fastq.gz	37735	37735
129-A	129-A	1	129-A_S140_L001_R1_001.fastq.gz	129-A_S140_L001_R2_001.fastq.gz	29888	29888
129-B	129-B	1	129-B_S330_L001_R1_001.fastq.gz	129-B_S330_L001_R2_001.fastq.gz	23839	23839
129-C	129-C	1	129-C_S520_L001_R1_001.fastq.gz	129-C_S520_L001_R2_001.fastq.gz	29475	29475
13-A	13-A	1	13-A_S13_L001_R1_001.fastq.gz	13-A_S13_L001_R2_001.fastq.gz	30300	30300
13-B	13-B	1	13-B_S203_L001_R1_001.fastq.gz	13-B_S203_L001_R2_001.fastq.gz	17861	17861
13-C	13-C	1	13-C_S393_L001_R1_001.fastq.gz	13-C_S393_L001_R2_001.fastq.gz	66263	66263
130-A	130-A	1	130-A_S149_L001_R1_001.fastq.gz	130-A_S149_L001_R2_001.fastq.gz	58326	58326
130-B	130-B	1	130-B_S339_L001_R1_001.fastq.gz	130-B_S339_L001_R2_001.fastq.gz	43003	43003
130-C	130-C	1	130-C_S529_L001_R1_001.fastq.gz	130-C_S529_L001_R2_001.fastq.gz	25321	25321
131-A	131-A	1	131-A_S150_L001_R1_001.fastq.gz	131-A_S150_L001_R2_001.fastq.gz	83801	83801
131-B	131-B	1	131-B_S340_L001_R1_001.fastq.gz	131-B_S340_L001_R2_001.fastq.gz	61171	61171
131-C	131-C	1	131-C_S530_L001_R1_001.fastq.gz	131-C_S530_L001_R2_001.fastq.gz	22370	22370
132-A	132-A	1	132-A_S143_L001_R1_001.fastq.gz	132-A_S143_L001_R2_001.fastq.gz	38548	38548
132-B	132-B	1	132-B_S333_L001_R1_001.fastq.gz	132-B_S333_L001_R2_001.fastq.gz	25445	25445
132-C	132-C	1	132-C_S523_L001_R1_001.fastq.gz	132-C_S523_L001_R2_001.fastq.gz	21393	21393
133-A	133-A	1	133-A_S144_L001_R1_001.fastq.gz	133-A_S144_L001_R2_001.fastq.gz	51828	51828
133-B	133-B	1	133-B_S334_L001_R1_001.fastq.gz	133-B_S334_L001_R2_001.fastq.gz	40700	40700
133-C	133-C	1	133-C_S524_L001_R1_001.fastq.gz	133-C_S524_L001_R2_001.fastq.gz	27308	27308
134-A	134-A	1	134-A_S145_L001_R1_001.fastq.gz	134-A_S145_L001_R2_001.fastq.gz	7607	7607
134-B	134-B	1	134-B_S335_L001_R1_001.fastq.gz	134-B_S335_L001_R2_001.fastq.gz	9247	9247
134-C	134-C	1	134-C_S525_L001_R1_001.fastq.gz	134-C_S525_L001_R2_001.fastq.gz	9818	9818
135-A	135-A	1	135-A_S146_L001_R1_001.fastq.gz	135-A_S146_L001_R2_001.fastq.gz	12090	12090
135-B	135-B	1	135-B_S336_L001_R1_001.fastq.gz	135-B_S336_L001_R2_001.fastq.gz	36417	36417
135-C	135-C	1	135-C_S526_L001_R1_001.fastq.gz	135-C_S526_L001_R2_001.fastq.gz	22189	22189
136-A	136-A	1	136-A_S147_L001_R1_001.fastq.gz	136-A_S147_L001_R2_001.fastq.gz	24377	24377
136-B	136-B	1	136-B_S337_L001_R1_001.fastq.gz	136-B_S337_L001_R2_001.fastq.gz	40733	40733
136-C	136-C	1	136-C_S527_L001_R1_001.fastq.gz	136-C_S527_L001_R2_001.fastq.gz	25514	25514
137-A	137-A	1	137-A_S148_L001_R1_001.fastq.gz	137-A_S148_L001_R2_001.fastq.gz	30811	30811
137-B	137-B	1	137-B_S338_L001_R1_001.fastq.gz	137-B_S338_L001_R2_001.fastq.gz	34378	34378
137-C	137-C	1	137-C_S528_L001_R1_001.fastq.gz	137-C_S528_L001_R2_001.fastq.gz	22932	22932
138-A	138-A	1	138-A_S141_L001_R1_001.fastq.gz	138-A_S141_L001_R2_001.fastq.gz	8243	8243
138-B	138-B	1	138-B_S331_L001_R1_001.fastq.gz	138-B_S331_L001_R2_001.fastq.gz	3236	3236
138-C	138-C	1	138-C_S521_L001_R1_001.fastq.gz	138-C_S521_L001_R2_001.fastq.gz	8098	8098
139-A	139-A	1	139-A_S142_L001_R1_001.fastq.gz	139-A_S142_L001_R2_001.fastq.gz	47043	47043
139-B	139-B	1	139-B_S332_L001_R1_001.fastq.gz	139-B_S332_L001_R2_001.fastq.gz	38734	38734
139-C	139-C	1	139-C_S522_L001_R1_001.fastq.gz	139-C_S522_L001_R2_001.fastq.gz	28386	28386
14-A	14-A	1	14-A_S14_L001_R1_001.fastq.gz	14-A_S14_L001_R2_001.fastq.gz	30125	30125
14-B	14-B	1	14-B_S204_L001_R1_001.fastq.gz	14-B_S204_L001_R2_001.fastq.gz	63988	63988
14-C	14-C	1	14-C_S394_L001_R1_001.fastq.gz	14-C_S394_L001_R2_001.fastq.gz	73220	73220
140-A	140-A	1	140-A_S151_L001_R1_001.fastq.gz	140-A_S151_L001_R2_001.fastq.gz	14718	14718
140-B	140-B	1	140-B_S341_L001_R1_001.fastq.gz	140-B_S341_L001_R2_001.fastq.gz	65226	65226
140-C	140-C	1	140-C_S531_L001_R1_001.fastq.gz	140-C_S531_L001_R2_001.fastq.gz	28315	28315
141-A	141-A	1	141-A_S152_L001_R1_001.fastq.gz	141-A_S152_L001_R2_001.fastq.gz	10674	10674
141-B	141-B	1	141-B_S342_L001_R1_001.fastq.gz	141-B_S342_L001_R2_001.fastq.gz	4199	4199
141-C	141-C	1	141-C_S532_L001_R1_001.fastq.gz	141-C_S532_L001_R2_001.fastq.gz	9797	9797
142-A	142-A	1	142-A_S153_L001_R1_001.fastq.gz	142-A_S153_L001_R2_001.fastq.gz	18243	18243
142-B	142-B	1	142-B_S343_L001_R1_001.fastq.gz	142-B_S343_L001_R2_001.fastq.gz	23703	23703
142-C	142-C	1	142-C_S533_L001_R1_001.fastq.gz	142-C_S533_L001_R2_001.fastq.gz	67166	67166
143-A	143-A	1	143-A_S154_L001_R1_001.fastq.gz	143-A_S154_L001_R2_001.fastq.gz	19849	19849
143-B	143-B	1	143-B_S344_L001_R1_001.fastq.gz	143-B_S344_L001_R2_001.fastq.gz	17589	17589
143-C	143-C	1	143-C_S534_L001_R1_001.fastq.gz	143-C_S534_L001_R2_001.fastq.gz	44840	44840
144-A	144-A	1	144-A_S155_L001_R1_001.fastq.gz	144-A_S155_L001_R2_001.fastq.gz	24386	24386
144-B	144-B	1	144-B_S345_L001_R1_001.fastq.gz	144-B_S345_L001_R2_001.fastq.gz	15506	15506
144-C	144-C	1	144-C_S535_L001_R1_001.fastq.gz	144-C_S535_L001_R2_001.fastq.gz	27588	27588
145-A	145-A	1	145-A_S156_L001_R1_001.fastq.gz	145-A_S156_L001_R2_001.fastq.gz	58751	58751
145-B	145-B	1	145-B_S346_L001_R1_001.fastq.gz	145-B_S346_L001_R2_001.fastq.gz	44519	44519
145-C	145-C	1	145-C_S536_L001_R1_001.fastq.gz	145-C_S536_L001_R2_001.fastq.gz	51420	51420
146-A	146-A	1	146-A_S157_L001_R1_001.fastq.gz	146-A_S157_L001_R2_001.fastq.gz	34655	34655
146-B	146-B	1	146-B_S347_L001_R1_001.fastq.gz	146-B_S347_L001_R2_001.fastq.gz	34193	34193
146-C	146-C	1	146-C_S537_L001_R1_001.fastq.gz	146-C_S537_L001_R2_001.fastq.gz	59667	59667
147-A	147-A	1	147-A_S158_L001_R1_001.fastq.gz	147-A_S158_L001_R2_001.fastq.gz	32484	32484
147-B	147-B	1	147-B_S348_L001_R1_001.fastq.gz	147-B_S348_L001_R2_001.fastq.gz	37041	37041
147-C	147-C	1	147-C_S538_L001_R1_001.fastq.gz	147-C_S538_L001_R2_001.fastq.gz	55150	55150
148-A	148-A	1	148-A_S159_L001_R1_001.fastq.gz	148-A_S159_L001_R2_001.fastq.gz	5490	5490
148-B	148-B	1	148-B_S349_L001_R1_001.fastq.gz	148-B_S349_L001_R2_001.fastq.gz	1856	1856
148-C	148-C	1	148-C_S539_L001_R1_001.fastq.gz	148-C_S539_L001_R2_001.fastq.gz	14090	14090
149-A	149-A	1	149-A_S160_L001_R1_001.fastq.gz	149-A_S160_L001_R2_001.fastq.gz	27706	27706
149-B	149-B	1	149-B_S350_L001_R1_001.fastq.gz	149-B_S350_L001_R2_001.fastq.gz	36002	36002
149-C	149-C	1	149-C_S540_L001_R1_001.fastq.gz	149-C_S540_L001_R2_001.fastq.gz	54183	54183
15-A	15-A	1	15-A_S15_L001_R1_001.fastq.gz	15-A_S15_L001_R2_001.fastq.gz	3068	3068
15-B	15-B	1	15-B_S205_L001_R1_001.fastq.gz	15-B_S205_L001_R2_001.fastq.gz	943	943
15-C	15-C	1	15-C_S395_L001_R1_001.fastq.gz	15-C_S395_L001_R2_001.fastq.gz	17288	17288
150-A	150-A	1	150-A_S161_L001_R1_001.fastq.gz	150-A_S161_L001_R2_001.fastq.gz	12792	12792
150-B	150-B	1	150-B_S351_L001_R1_001.fastq.gz	150-B_S351_L001_R2_001.fastq.gz	24727	24727
150-C	150-C	1	150-C_S541_L001_R1_001.fastq.gz	150-C_S541_L001_R2_001.fastq.gz	55033	55033
151-A	151-A	1	151-A_S162_L001_R1_001.fastq.gz	151-A_S162_L001_R2_001.fastq.gz	13835	13835
151-B	151-B	1	151-B_S352_L001_R1_001.fastq.gz	151-B_S352_L001_R2_001.fastq.gz	20575	20575
151-C	151-C	1	151-C_S542_L001_R1_001.fastq.gz	151-C_S542_L001_R2_001.fastq.gz	39989	39989
152-A	152-A	1	152-A_S163_L001_R1_001.fastq.gz	152-A_S163_L001_R2_001.fastq.gz	17298	17298
152-B	152-B	1	152-B_S353_L001_R1_001.fastq.gz	152-B_S353_L001_R2_001.fastq.gz	17995	17995
152-C	152-C	1	152-C_S543_L001_R1_001.fastq.gz	152-C_S543_L001_R2_001.fastq.gz	35122	35122
153-A	153-A	1	153-A_S164_L001_R1_001.fastq.gz	153-A_S164_L001_R2_001.fastq.gz	21566	21566
153-B	153-B	1	153-B_S354_L001_R1_001.fastq.gz	153-B_S354_L001_R2_001.fastq.gz	24754	24754
153-C	153-C	1	153-C_S544_L001_R1_001.fastq.gz	153-C_S544_L001_R2_001.fastq.gz	44731	44731
154-A	154-A	1	154-A_S165_L001_R1_001.fastq.gz	154-A_S165_L001_R2_001.fastq.gz	19243	19243
154-B	154-B	1	154-B_S355_L001_R1_001.fastq.gz	154-B_S355_L001_R2_001.fastq.gz	42584	42584
154-C	154-C	1	154-C_S545_L001_R1_001.fastq.gz	154-C_S545_L001_R2_001.fastq.gz	30344	30344
155-A	155-A	1	155-A_S166_L001_R1_001.fastq.gz	155-A_S166_L001_R2_001.fastq.gz	6050	6050
155-B	155-B	1	155-B_S356_L001_R1_001.fastq.gz	155-B_S356_L001_R2_001.fastq.gz	10255	10255
155-C	155-C	1	155-C_S546_L001_R1_001.fastq.gz	155-C_S546_L001_R2_001.fastq.gz	15908	15908
156-A	156-A	1	156-A_S167_L001_R1_001.fastq.gz	156-A_S167_L001_R2_001.fastq.gz	34398	34398
156-B	156-B	1	156-B_S357_L001_R1_001.fastq.gz	156-B_S357_L001_R2_001.fastq.gz	24976	24976
156-C	156-C	1	156-C_S547_L001_R1_001.fastq.gz	156-C_S547_L001_R2_001.fastq.gz	48977	48977
157-A	157-A	1	157-A_S168_L001_R1_001.fastq.gz	157-A_S168_L001_R2_001.fastq.gz	22050	22050
157-B	157-B	1	157-B_S358_L001_R1_001.fastq.gz	157-B_S358_L001_R2_001.fastq.gz	22992	22992
157-C	157-C	1	157-C_S548_L001_R1_001.fastq.gz	157-C_S548_L001_R2_001.fastq.gz	67902	67902
158-A	158-A	1	158-A_S169_L001_R1_001.fastq.gz	158-A_S169_L001_R2_001.fastq.gz	13059	13059
158-B	158-B	1	158-B_S359_L001_R1_001.fastq.gz	158-B_S359_L001_R2_001.fastq.gz	42122	42122
158-C	158-C	1	158-C_S549_L001_R1_001.fastq.gz	158-C_S549_L001_R2_001.fastq.gz	25532	25532
159-A	159-A	1	159-A_S170_L001_R1_001.fastq.gz	159-A_S170_L001_R2_001.fastq.gz	8319	8319
159-B	159-B	1	159-B_S360_L001_R1_001.fastq.gz	159-B_S360_L001_R2_001.fastq.gz	27967	27967
159-C	159-C	1	159-C_S550_L001_R1_001.fastq.gz	159-C_S550_L001_R2_001.fastq.gz	23672	23672
16-A	16-A	1	16-A_S16_L001_R1_001.fastq.gz	16-A_S16_L001_R2_001.fastq.gz	19416	19416
16-B	16-B	1	16-B_S206_L001_R1_001.fastq.gz	16-B_S206_L001_R2_001.fastq.gz	60481	60481
16-C	16-C	1	16-C_S396_L001_R1_001.fastq.gz	16-C_S396_L001_R2_001.fastq.gz	50099	50099
